bank,sound,rate,samples,seconds,offset,file
0,0,16000,8442,0.528,0,bank000/000.wav
0,1,17000,2850,0.168,0,bank000/001.wav
0,2,17000,3205,0.189,0,bank000/002.wav
0,3,17000,3350,0.197,0,bank000/003.wav
0,4,17000,2814,0.166,0,bank000/004.wav
0,5,17000,4059,0.239,0,bank000/005.wav
0,6,16000,3627,0.227,0,bank000/006.wav
0,7,15000,8475,0.565,0,bank000/007.wav
0,8,15000,8677,0.578,0,bank000/008.wav
1,0,18000,8315,0.462,95802,bank001/000.wav
1,1,18000,7785,0.432,95802,bank001/001.wav
1,2,18000,9563,0.531,95802,bank001/002.wav
1,3,18000,8491,0.472,95802,bank001/003.wav
1,4,18000,9008,0.5,95802,bank001/004.wav
2,0,18000,5880,0.327,186930,bank002/000.wav
2,1,18000,4330,0.241,186930,bank002/001.wav
2,2,18000,5561,0.309,186930,bank002/002.wav
2,3,18000,5244,0.291,186930,bank002/003.wav
2,4,18000,3472,0.193,186930,bank002/004.wav
3,0,16000,1300,0.081,240708,bank003/000.wav
3,1,16000,1236,0.077,240708,bank003/001.wav
3,2,16000,1898,0.119,240708,bank003/002.wav
3,3,16000,1737,0.109,240708,bank003/003.wav
3,4,16000,1888,0.118,240708,bank003/004.wav
4,0,12000,2645,0.22,261630,bank004/000.wav
4,1,12000,4337,0.361,261630,bank004/001.wav
4,2,12000,1816,0.151,261630,bank004/002.wav
4,3,12000,2150,0.179,261630,bank004/003.wav
5,0,8000,818,0.102,288330,bank005/000.wav
5,1,8000,900,0.113,288330,bank005/001.wav
5,2,8000,509,0.064,288330,bank005/002.wav
5,3,8000,954,0.119,288330,bank005/003.wav
5,4,8000,524,0.066,288330,bank005/004.wav
6,0,16000,4045,0.253,300544,bank006/000.wav
6,1,16000,4225,0.264,300544,bank006/001.wav
6,2,16000,3293,0.206,300544,bank006/002.wav
6,3,44100,9135,0.207,300544,bank006/003.wav
6,4,16000,3638,0.227,300544,bank006/004.wav
