bank,sound,rate,samples,seconds,offset,file
0,0,15000,2197,0.146,0,bank000/000.wav
0,1,15000,2197,0.146,0,bank000/001.wav
0,2,15000,2163,0.144,0,bank000/002.wav
0,3,15000,2433,0.162,0,bank000/003.wav
0,4,15000,2298,0.153,0,bank000/004.wav
0,5,15000,2839,0.189,0,bank000/005.wav
0,6,15000,3042,0.203,0,bank000/006.wav
0,7,15000,3785,0.252,0,bank000/007.wav
0,8,15000,3515,0.234,0,bank000/008.wav
0,9,15000,2433,0.162,0,bank000/009.wav
0,10,15000,3745,0.25,0,bank000/010.wav
0,11,15000,3244,0.216,0,bank000/011.wav
0,12,15000,4461,0.297,0,bank000/012.wav
0,13,15000,3065,0.204,0,bank000/013.wav
0,14,15000,15713,1.048,0,bank000/014.wav
0,15,15000,15157,1.01,0,bank000/015.wav
0,16,15000,18245,1.216,0,bank000/016.wav
0,17,15000,9941,0.663,0,bank000/017.wav
0,18,15000,19744,1.316,0,bank000/018.wav
0,19,15000,14353,0.957,0,bank000/019.wav
0,20,15000,10677,0.712,0,bank000/020.wav
0,21,15000,5394,0.36,0,bank000/021.wav
0,22,15000,11913,0.794,0,bank000/022.wav
0,23,15000,6049,0.403,0,bank000/023.wav
0,24,15000,10114,0.674,0,bank000/024.wav
0,25,15000,6488,0.433,0,bank000/025.wav
0,26,15000,4326,0.288,0,bank000/026.wav
0,27,15000,8111,0.541,0,bank000/027.wav
0,28,15000,8111,0.541,0,bank000/028.wav
0,29,15000,10138,0.676,0,bank000/029.wav
0,30,15000,9287,0.619,0,bank000/030.wav
0,31,15000,11760,0.784,0,bank000/031.wav
0,32,15000,8111,0.541,0,bank000/032.wav
0,33,15000,6489,0.433,0,bank000/033.wav
0,34,8000,3100,0.388,0,bank000/034.wav
0,35,8000,2668,0.334,0,bank000/035.wav
0,36,8000,3317,0.415,0,bank000/036.wav
0,37,8000,4830,0.604,0,bank000/037.wav
0,38,8000,2945,0.368,0,bank000/038.wav
0,39,8000,3965,0.496,0,bank000/039.wav
0,40,15000,6539,0.436,0,bank000/040.wav
0,41,15000,5272,0.351,0,bank000/041.wav
0,42,15000,3853,0.257,0,bank000/042.wav
0,43,15000,2839,0.189,0,bank000/043.wav
0,44,15000,3447,0.23,0,bank000/044.wav
0,45,15000,3650,0.243,0,bank000/045.wav
0,46,15000,4056,0.27,0,bank000/046.wav
0,47,15000,3853,0.257,0,bank000/047.wav
0,48,15000,3447,0.23,0,bank000/048.wav
0,49,15000,4664,0.311,0,bank000/049.wav
0,50,15000,4056,0.27,0,bank000/050.wav
0,51,15000,6286,0.419,0,bank000/051.wav
0,52,15000,4866,0.324,0,bank000/052.wav
0,53,15000,4664,0.311,0,bank000/053.wav
0,54,15000,3650,0.243,0,bank000/054.wav
0,55,15000,4866,0.324,0,bank000/055.wav
0,56,15000,5678,0.379,0,bank000/056.wav
0,57,15000,3853,0.257,0,bank000/057.wav
0,58,15000,4664,0.311,0,bank000/058.wav
0,59,15000,4866,0.324,0,bank000/059.wav
0,60,15000,4664,0.311,0,bank000/060.wav
0,61,15000,3244,0.216,0,bank000/061.wav
0,62,15000,4866,0.324,0,bank000/062.wav
0,63,15000,10331,0.689,0,bank000/063.wav
0,64,15000,10747,0.716,0,bank000/064.wav
0,65,15000,7725,0.515,0,bank000/065.wav
0,66,15000,9667,0.644,0,bank000/066.wav
0,67,15000,9369,0.625,0,bank000/067.wav
0,68,15000,14599,0.973,0,bank000/068.wav
0,69,15000,14233,0.949,0,bank000/069.wav
0,70,15000,14284,0.952,0,bank000/070.wav
0,71,15000,18502,1.233,0,bank000/071.wav
0,72,15000,11336,0.756,0,bank000/072.wav
0,73,15000,22041,1.469,0,bank000/073.wav
0,74,15000,9881,0.659,0,bank000/074.wav
0,75,15000,14161,0.944,0,bank000/075.wav
0,76,15000,9892,0.659,0,bank000/076.wav
0,77,15000,14290,0.953,0,bank000/077.wav
0,78,15000,15589,1.039,0,bank000/078.wav
0,79,15000,6428,0.429,0,bank000/079.wav
0,80,15000,5542,0.369,0,bank000/080.wav
0,81,15000,6948,0.463,0,bank000/081.wav
0,82,15000,10273,0.685,0,bank000/082.wav
0,83,15000,11355,0.757,0,bank000/083.wav
0,84,15000,10016,0.668,0,bank000/084.wav
0,85,15000,7705,0.514,0,bank000/085.wav
0,86,15000,5880,0.392,0,bank000/086.wav
0,87,15000,8110,0.541,0,bank000/087.wav
0,88,15000,8111,0.541,0,bank000/088.wav
0,89,15000,6894,0.46,0,bank000/089.wav
0,90,15000,5678,0.379,0,bank000/090.wav
0,91,15000,8516,0.568,0,bank000/091.wav
0,92,15000,5272,0.351,0,bank000/092.wav
0,93,15000,5272,0.351,0,bank000/093.wav
0,94,15000,6083,0.406,0,bank000/094.wav
0,95,15000,9732,0.649,0,bank000/095.wav
0,96,15000,5407,0.36,0,bank000/096.wav
0,97,15000,9327,0.622,0,bank000/097.wav
0,98,15000,10138,0.676,0,bank000/098.wav
0,99,15000,10949,0.73,0,bank000/099.wav
0,100,15000,6083,0.406,0,bank000/100.wav
0,101,15000,6461,0.431,0,bank000/101.wav
0,102,15000,4596,0.306,0,bank000/102.wav
0,103,15000,7570,0.505,0,bank000/103.wav
0,104,15000,3785,0.252,0,bank000/104.wav
0,105,15000,5542,0.369,0,bank000/105.wav
0,106,15000,2839,0.189,0,bank000/106.wav
0,107,15000,4326,0.288,0,bank000/107.wav
0,108,15000,3650,0.243,0,bank000/108.wav
0,109,15000,3515,0.234,0,bank000/109.wav
0,110,15000,5407,0.36,0,bank000/110.wav
0,111,15000,5407,0.36,0,bank000/111.wav
0,112,15000,4866,0.324,0,bank000/112.wav
0,113,15000,4866,0.324,0,bank000/113.wav
0,114,15000,3785,0.252,0,bank000/114.wav
0,115,15000,6539,0.436,0,bank000/115.wav
0,116,15000,3650,0.243,0,bank000/116.wav
0,117,15000,4056,0.27,0,bank000/117.wav
0,118,15000,6286,0.419,0,bank000/118.wav
0,119,15000,4866,0.324,0,bank000/119.wav
0,120,15000,3853,0.257,0,bank000/120.wav
0,121,15000,3244,0.216,0,bank000/121.wav
0,122,15000,3528,0.235,0,bank000/122.wav
0,123,15000,3544,0.236,0,bank000/123.wav
0,124,15000,4207,0.28,0,bank000/124.wav
0,125,15000,5615,0.374,0,bank000/125.wav
0,126,15000,7778,0.519,0,bank000/126.wav
0,127,15000,8785,0.586,0,bank000/127.wav
0,128,15000,3772,0.251,0,bank000/128.wav
0,129,15000,4567,0.304,0,bank000/129.wav
0,130,15000,4986,0.332,0,bank000/130.wav
0,131,15000,5333,0.356,0,bank000/131.wav
0,132,15000,10089,0.673,0,bank000/132.wav
0,133,15000,15653,1.044,0,bank000/133.wav
0,134,15000,5074,0.338,0,bank000/134.wav
0,135,15000,5216,0.348,0,bank000/135.wav
0,136,15000,7811,0.521,0,bank000/136.wav
0,137,15000,8844,0.59,0,bank000/137.wav
0,138,15000,9041,0.603,0,bank000/138.wav
0,139,15000,8809,0.587,0,bank000/139.wav
0,140,15000,10389,0.693,0,bank000/140.wav
0,141,15000,8677,0.578,0,bank000/141.wav
0,142,15000,5756,0.384,0,bank000/142.wav
0,143,15000,5737,0.382,0,bank000/143.wav
0,144,15000,4596,0.306,0,bank000/144.wav
0,145,15000,4866,0.324,0,bank000/145.wav
0,146,15000,4817,0.321,0,bank000/146.wav
0,147,15000,7705,0.514,0,bank000/147.wav
0,148,15000,3954,0.264,0,bank000/148.wav
0,149,15000,2699,0.18,0,bank000/149.wav
0,150,15000,6661,0.444,0,bank000/150.wav
0,151,15000,10138,0.676,0,bank000/151.wav
0,152,15000,8111,0.541,0,bank000/152.wav
0,153,15000,4258,0.284,0,bank000/153.wav
0,154,15000,6083,0.406,0,bank000/154.wav
0,155,15000,4190,0.279,0,bank000/155.wav
0,156,15000,8639,0.576,0,bank000/156.wav
0,157,15000,7181,0.479,0,bank000/157.wav
0,158,15000,8022,0.535,0,bank000/158.wav
0,159,15000,10175,0.678,0,bank000/159.wav
0,160,15000,4980,0.332,0,bank000/160.wav
0,161,15000,5385,0.359,0,bank000/161.wav
0,162,15000,9616,0.641,0,bank000/162.wav
0,163,15000,26787,1.786,0,bank000/163.wav
0,164,15000,20614,1.374,0,bank000/164.wav
0,165,15000,26058,1.737,0,bank000/165.wav
0,166,15000,26493,1.766,0,bank000/166.wav
0,167,15000,22253,1.484,0,bank000/167.wav
0,168,15000,26682,1.779,0,bank000/168.wav
1,0,12000,16454,1.371,2552514,bank001/000.wav
1,1,12000,11752,0.979,2552514,bank001/001.wav
1,2,12000,14486,1.207,2552514,bank001/002.wav
1,3,12000,18943,1.579,2552514,bank001/003.wav
1,4,12000,8034,0.669,2552514,bank001/004.wav
1,5,12000,6813,0.568,2552514,bank001/005.wav
1,6,12000,10349,0.862,2552514,bank001/006.wav
1,7,12000,12311,1.026,2552514,bank001/007.wav
1,8,12000,6404,0.534,2552514,bank001/008.wav
1,9,12000,19613,1.634,2552514,bank001/009.wav
1,10,12000,16910,1.409,2552514,bank001/010.wav
1,11,12000,19579,1.632,2552514,bank001/011.wav
1,12,12000,15261,1.272,2552514,bank001/012.wav
1,13,12000,16970,1.414,2552514,bank001/013.wav
1,14,12000,12912,1.076,2552514,bank001/014.wav
1,15,12000,11553,0.963,2552514,bank001/015.wav
1,16,12000,13525,1.127,2552514,bank001/016.wav
1,17,12000,11308,0.942,2552514,bank001/017.wav
1,18,12000,9905,0.825,2552514,bank001/018.wav
1,19,12000,14678,1.223,2552514,bank001/019.wav
1,20,12000,17467,1.456,2552514,bank001/020.wav
1,21,12000,10373,0.864,2552514,bank001/021.wav
1,22,12000,5084,0.424,2552514,bank001/022.wav
1,23,12000,10397,0.866,2552514,bank001/023.wav
1,24,12000,16652,1.388,2552514,bank001/024.wav
1,25,12000,4546,0.379,2552514,bank001/025.wav
1,26,12000,5091,0.424,2552514,bank001/026.wav
1,27,12000,3912,0.326,2552514,bank001/027.wav
1,28,12000,6049,0.504,2552514,bank001/028.wav
1,29,12000,5486,0.457,2552514,bank001/029.wav
1,30,12000,4940,0.412,2552514,bank001/030.wav
1,31,12000,10152,0.846,2552514,bank001/031.wav
1,32,12000,6177,0.515,2552514,bank001/032.wav
1,33,12000,6738,0.561,2552514,bank001/033.wav
1,34,12000,7052,0.588,2552514,bank001/034.wav
1,35,12000,4623,0.385,2552514,bank001/035.wav
1,36,12000,3991,0.333,2552514,bank001/036.wav
1,37,12000,5494,0.458,2552514,bank001/037.wav
1,38,12000,3909,0.326,2552514,bank001/038.wav
1,39,12000,6496,0.541,2552514,bank001/039.wav
1,40,12000,7666,0.639,2552514,bank001/040.wav
1,41,12000,7192,0.599,2552514,bank001/041.wav
1,42,12000,4906,0.409,2552514,bank001/042.wav
1,43,12000,5778,0.481,2552514,bank001/043.wav
1,44,12000,4679,0.39,2552514,bank001/044.wav
1,45,12000,4410,0.367,2552514,bank001/045.wav
1,46,12000,2294,0.191,2552514,bank001/046.wav
1,47,12000,2953,0.246,2552514,bank001/047.wav
1,48,12000,3405,0.284,2552514,bank001/048.wav
1,49,12000,2131,0.178,2552514,bank001/049.wav
1,50,12000,2883,0.24,2552514,bank001/050.wav
1,51,12000,3166,0.264,2552514,bank001/051.wav
1,52,12000,3909,0.326,2552514,bank001/052.wav
1,53,12000,3043,0.254,2552514,bank001/053.wav
1,54,12000,3979,0.332,2552514,bank001/054.wav
1,55,12000,5085,0.424,2552514,bank001/055.wav
1,56,12000,5269,0.439,2552514,bank001/056.wav
1,57,12000,3989,0.332,2552514,bank001/057.wav
1,58,12000,3317,0.276,2552514,bank001/058.wav
1,59,12000,4391,0.366,2552514,bank001/059.wav
1,60,12000,3980,0.332,2552514,bank001/060.wav
1,61,12000,4297,0.358,2552514,bank001/061.wav
1,62,12000,3406,0.284,2552514,bank001/062.wav
1,63,12000,2763,0.23,2552514,bank001/063.wav
1,64,12000,3931,0.328,2552514,bank001/064.wav
1,65,12000,5548,0.462,2552514,bank001/065.wav
1,66,12000,5929,0.494,2552514,bank001/066.wav
1,67,12000,3939,0.328,2552514,bank001/067.wav
1,68,12000,4175,0.348,2552514,bank001/068.wav
1,69,12000,3145,0.262,2552514,bank001/069.wav
1,70,12000,2404,0.2,2552514,bank001/070.wav
1,71,12000,2773,0.231,2552514,bank001/071.wav
1,72,12000,2729,0.227,2552514,bank001/072.wav
1,73,12000,4335,0.361,2552514,bank001/073.wav
1,74,12000,2977,0.248,2552514,bank001/074.wav
1,75,12000,3844,0.32,2552514,bank001/075.wav
1,76,12000,4284,0.357,2552514,bank001/076.wav
1,77,12000,2944,0.245,2552514,bank001/077.wav
1,78,12000,3225,0.269,2552514,bank001/078.wav
