bank,sound,rate,samples,seconds,offset,file
0,0,8000,7681,0.96,0,bank000/000.wav
0,1,8000,5243,0.655,0,bank000/001.wav
0,2,8000,8172,1.022,0,bank000/002.wav
0,3,8000,7735,0.967,0,bank000/003.wav
0,4,8000,6380,0.797,0,bank000/004.wav
0,5,8000,5906,0.738,0,bank000/005.wav
0,6,8000,4304,0.538,0,bank000/006.wav
0,7,8000,7572,0.947,0,bank000/007.wav
0,8,8000,5641,0.705,0,bank000/008.wav
0,9,8000,4833,0.604,0,bank000/009.wav
0,10,8000,7458,0.932,0,bank000/010.wav
0,11,8000,7666,0.958,0,bank000/011.wav
0,12,8000,9146,1.143,0,bank000/012.wav
0,13,8000,6803,0.85,0,bank000/013.wav
0,14,8000,3513,0.439,0,bank000/014.wav
0,15,8000,4743,0.593,0,bank000/015.wav
0,16,8000,8250,1.031,0,bank000/016.wav
0,17,8000,6546,0.818,0,bank000/017.wav
0,18,8000,5130,0.641,0,bank000/018.wav
0,19,8000,4546,0.568,0,bank000/019.wav
0,20,8000,3927,0.491,0,bank000/020.wav
0,21,8000,4767,0.596,0,bank000/021.wav
0,22,8000,6669,0.834,0,bank000/022.wav
0,23,8000,7980,0.998,0,bank000/023.wav
0,24,8000,4153,0.519,0,bank000/024.wav
0,25,8000,4269,0.534,0,bank000/025.wav
0,26,8000,5152,0.644,0,bank000/026.wav
0,27,8000,10964,1.371,0,bank000/027.wav
0,28,8000,9113,1.139,0,bank000/028.wav
0,29,8000,5761,0.72,0,bank000/029.wav
0,30,8000,5926,0.741,0,bank000/030.wav
0,31,8000,8155,1.019,0,bank000/031.wav
0,32,8000,11444,1.431,0,bank000/032.wav
0,33,8000,4932,0.617,0,bank000/033.wav
0,34,8000,10638,1.33,0,bank000/034.wav
0,35,8000,5658,0.707,0,bank000/035.wav
0,36,8000,6400,0.8,0,bank000/036.wav
0,37,8000,9447,1.181,0,bank000/037.wav
0,38,8000,7306,0.913,0,bank000/038.wav
0,39,8000,4795,0.599,0,bank000/039.wav
0,40,8000,5936,0.742,0,bank000/040.wav
0,41,8000,5001,0.625,0,bank000/041.wav
0,42,8000,4515,0.564,0,bank000/042.wav
0,43,8000,7138,0.892,0,bank000/043.wav
0,44,8000,4683,0.585,0,bank000/044.wav
0,45,8000,8053,1.007,0,bank000/045.wav
0,46,8000,5778,0.722,0,bank000/046.wav
0,47,8000,6166,0.771,0,bank000/047.wav
0,48,8000,6072,0.759,0,bank000/048.wav
0,49,8000,6241,0.78,0,bank000/049.wav
0,50,8000,5650,0.706,0,bank000/050.wav
0,51,8000,3278,0.41,0,bank000/051.wav
0,52,8000,5846,0.731,0,bank000/052.wav
0,53,8000,4390,0.549,0,bank000/053.wav
0,54,8000,5887,0.736,0,bank000/054.wav
0,55,8000,5501,0.688,0,bank000/055.wav
0,56,8000,9447,1.181,0,bank000/056.wav
0,57,8000,4883,0.61,0,bank000/057.wav
